Designator,Mid X,Mid Y,Rotation,Layer
F175,220.85,304.93,270,Top
FB177,103.5,327.79,270,Top
FB308,232.54,320.67,270,Top
FB309,235.58,312.55,270,Top
FB364,228.73,311.78,270,Top
FB365,161.92,321.69,0,Top
FB366,161.92,325.75,0,Top
FB401,7.75,316.61,270,Top
FB410,32.89,331.34,270,Top
FB411,36.7,331.34,270,Top
FB462,40.51,331.34,270,Top
FB463,52.7,318.9,270,Top
FB464,60.83,318.9,270,Top
FB476,85.72,327.53,270,Top
FB710,116.71,127.63,270,Top
FB975,8.51,298.32,0,Top
J100,170.31,158.62,0,Top
J104,170.31,161.16,0,Top
J151,156.84,211.45,0,Top
J212,23.75,263.78,270,Top
J213,69.21,212.98,270,Top
J214,26.8,227.71,270,Top
J351,147.45,315.09,0,Top
J352,183.26,289.18,270,Top
J500,87.5,278.76,270,Top
J501,80.14,262.51,0,Top
J502,80.14,259.97,0,Top
J850,145.16,32.64,0,Top
J852,116.2,72.01,270,Top
J975,8,174.62,0,Top
MT1,8.51,47.37,0,Top
MT2,121.28,47.37,0,Top
MT3,238.12,47.37,0,Top
MT4,8.51,193.17,0,Top
MT5,121.28,193.17,0,Top
MT6,238.12,193.17,0,Top
MT7,8.25,335.91,0,Top
MT8,121.28,335.91,0,Top
MT9,238.12,335.91,0,Top
Q300,170.05,327.79,270,Top
Q400,14.1,323.72,270,Top
Q430,16.13,302.89,270,Top
Q440,18.16,323.72,270,Top
Q901,142.11,168.02,270,Top
R1,237.36,164.72,0,Top
R10,237.36,159.64,0,Top
R101,178.69,166.75,0,Bottom
R102,178.69,164.21,0,Bottom
R103,169.88,154.56,0,Bottom
R104,151.51,159.64,0,Bottom
R105,169.88,149.48,0,Bottom
R106,169.88,146.94,0,Bottom
R11,237.36,157.1,0,Top
R111,151.94,148.97,0,Bottom
R112,169.88,152.02,0,Bottom
R12,237.36,154.56,0,Top
R120,143.38,106.04,0,Bottom
R121,157.35,93.6,0,Bottom
R122,157.35,101.22,0,Bottom
R125,143.64,78.87,0,Bottom
R126,151.51,163.19,0,Bottom
R127,169.04,177.42,270,Top
R128,164.21,172.34,0,Bottom
R13,237.36,152.02,0,Top
R14,237.36,149.48,0,Top
R15,236.85,146.94,0,Bottom
R151,194.94,199.26,0,Bottom
R16,236.85,144.4,0,Bottom
R161,212.22,196.72,0,Bottom
R162,194.94,201.8,0,Bottom
R165,210.95,201.29,0,Bottom
R166,191.13,189.86,0,Bottom
R167,199.26,212.22,0,Top
R168,199.26,214.76,0,Top
R169,206.88,212.22,0,Top
R17,237.36,167.26,0,Top
R170,206.88,214.76,0,Top
R171,191.39,159.38,0,Bottom
R172,191.39,161.92,0,Bottom
R173,191.13,187.32,0,Bottom
R175,44.58,158.88,0,Bottom
R176,93.85,317.12,270,Top
R177,88.26,317.12,270,Top
R178,44.58,161.42,0,Bottom
R179,31.62,164.97,0,Bottom
R18,237.36,169.8,0,Top
R180,44.58,153.8,0,Bottom
R181,31.62,159.89,0,Bottom
R182,8,142.62,0,Bottom
R19,237.36,172.34,0,Top
R2,236.85,167.26,0,Bottom
R20,237.36,174.88,0,Top
R206,78.1,300.61,270,Top
R207,80.64,300.61,270,Top
R208,83.18,300.61,270,Top
R21,237.36,177.42,0,Top
R211,21.72,199.26,0,Bottom
R212,31.88,219.07,0,Bottom
R213,40.26,257.43,0,Bottom
R214,21.72,204.34,0,Bottom
R215,31.62,207.64,0,Bottom
R216,21.72,196.72,0,Bottom
R217,21.72,201.8,0,Bottom
R218,21.72,194.18,0,Bottom
R22,237.36,179.96,0,Top
R222,36.96,226.95,0,Bottom
R223,44.07,226.95,0,Bottom
R23,237.36,182.5,0,Top
R231,52.2,226.44,0,Bottom
R232,52.2,223.9,0,Bottom
R233,52.2,221.36,0,Bottom
R234,52.2,218.82,0,Bottom
R235,52.2,216.28,0,Bottom
R236,52.2,213.74,0,Bottom
R237,52.2,211.2,0,Bottom
R239,40.51,190.88,0,Top
R24,236.85,185.04,0,Bottom
R240,40.51,190.88,0,Bottom
R241,34.16,190.88,0,Bottom
R242,34.16,188.34,0,Bottom
R243,40.51,188.34,0,Bottom
R244,34.16,185.8,0,Bottom
R245,40.51,185.8,0,Bottom
R246,34.16,183.26,0,Bottom
R247,40.51,183.26,0,Bottom
R248,34.16,180.72,0,Bottom
R249,40.51,180.72,0,Bottom
R25,236.85,164.72,0,Bottom
R26,236.85,162.18,0,Bottom
R27,236.85,159.64,0,Bottom
R28,236.85,157.1,0,Bottom
R29,236.85,154.56,0,Bottom
R3,236.85,169.8,0,Bottom
R30,236.85,152.02,0,Bottom
R301,8.51,18.92,0,Bottom
R302,215.77,313.05,270,Top
R305,172.08,323.72,0,Bottom
R306,172.08,321.18,0,Top
R307,8.51,16.38,0,Bottom
R31,236.85,149.48,0,Bottom
R311,8.51,24,0,Bottom
R32,237.36,144.4,0,Top
R33,236.85,77.34,0,Bottom
R34,236.85,79.88,0,Bottom
R35,236.85,82.42,0,Bottom
R355,225.93,303.4,0,Bottom
R356,217.8,304.93,270,Top
R357,199.01,297.31,0,Bottom
R358,199.01,294.77,0,Bottom
R359,160.91,323.72,0,Bottom
R36,236.85,84.96,0,Bottom
R360,225.93,300.86,0,Bottom
R361,225.93,305.94,0,Bottom
R37,236.85,87.5,0,Bottom
R371,225.93,312.8,0,Bottom
R38,236.85,90.04,0,Bottom
R381,158.37,290.7,0,Top
R382,168.78,270.89,0,Bottom
R383,224.41,312.55,270,Top
R39,236.85,92.58,0,Bottom
R4,236.85,172.34,0,Bottom
R40,236.85,95.12,0,Bottom
R400,50.16,311.53,0,Top
R401,31.88,303.4,0,Bottom
R402,32.89,313.05,0,Bottom
R403,32.89,310.51,0,Bottom
R403A,25.27,333.37,0,Top
R403B,17.91,334.39,0,Bottom
R403C,25.27,333.37,0,Bottom
R403D,25.27,330.83,0,Bottom
R403E,25.27,325.75,0,Bottom
R403F,16.13,325.25,0,Bottom
R403G,25.27,325.75,0,Top
R403H,25.27,328.29,0,Top
R404,25.27,318.13,0,Bottom
R405,32.89,307.47,0,Bottom
R406,25.27,310.51,0,Bottom
R407,7.49,310.51,0,Bottom
R408,7.49,323.21,0,Bottom
R41,237.36,77.34,0,Top
R42,237.36,79.88,0,Top
R43,237.36,82.42,0,Top
R430,25.27,302.89,0,Bottom
R431,9.02,300.35,0,Bottom
R432,10.03,302.89,0,Top
R433,25.27,320.67,0,Bottom
R434,25.27,330.83,0,Top
R435,25.27,307.97,0,Bottom
R44,237.36,84.96,0,Top
R440,25.27,315.59,0,Bottom
R441,7.49,320.67,0,Bottom
R442,7.49,318.13,0,Bottom
R443,25.27,323.21,0,Top
R444,25.27,328.29,0,Bottom
R445,7.49,328.29,0,Bottom
R45,237.36,87.5,0,Top
R451,96.9,285.62,0,Bottom
R455A,108.58,264.03,0,Bottom
R455B,108.58,262,0,Bottom
R455C,108.58,259.97,0,Bottom
R455D,108.58,257.94,0,Bottom
R455E,108.58,255.9,0,Bottom
R455F,108.58,253.87,0,Bottom
R455G,108.58,251.84,0,Bottom
R455H,114.43,254.38,0,Bottom
R456,62.1,311.78,270,Top
R456A,118.49,281.3,270,Top
R456B,118.49,279.27,270,Top
R456C,118.49,277.24,0,Top
R456D,118.49,275.21,0,Top
R456E,118.49,273.18,0,Top
R456F,118.49,271.14,0,Top
R456G,118.49,269.11,0,Top
R456H,118.49,267.08,0,Top
R457,69.47,315.59,0,Bottom
R457A,122.05,297.05,0,Top
R457B,122.05,295.02,0,Top
R457C,122.05,292.99,0,Top
R457D,122.05,290.96,0,Top
R457E,122.05,288.92,0,Top
R457F,122.05,286.89,0,Top
R457G,122.05,284.86,0,Top
R457H,118.49,281.3,0,Bottom
R458,62.1,305.43,270,Top
R458A,100.96,295.53,270,Top
R458B,103.5,295.53,270,Top
R459,72.01,319.66,270,Top
R46,237.36,90.04,0,Top
R460,69.47,319.66,270,Top
R461,66.93,319.66,270,Top
R462,64.39,319.66,270,Top
R463,51.69,327.79,270,Top
R464,49.15,327.79,270,Top
R465,65.4,265.81,0,Bottom
R47,237.36,92.58,0,Top
R48,237.36,95.12,0,Top
R49,237.36,97.66,0,Top
R5,236.85,174.88,0,Bottom
R50,237.36,100.2,0,Top
R500,97.15,215.52,0,Bottom
R501,104.01,218.06,0,Bottom
R502,123.06,226.69,0,Bottom
R503,99.44,227.46,0,Bottom
R504,97.15,218.06,0,Bottom
R505,116.71,238.3,270,Top
R506,104.01,220.6,0,Bottom
R507,89.28,305.94,0,Top
R508,97.15,220.6,0,Bottom
R509,72.77,268.6,0,Bottom
R51,237.36,102.74,0,Top
R510,57.53,272.67,0,Bottom
R511,57.53,275.21,0,Bottom
