Type,Part Id,Quantity,Designator,Name,Footprint,LCSC
Connector,903446-06,2,"CN452, CN600",100 Pin Edge Card Connector,TH,C5173320
CapacitorR,390101-03,2,"C185, C400A","470µF 16V - Aluminum electrolytic, radial",TH 5mm,C3274499
Connector,903349-01,1,CN160,"Power In, Mate-N-Lok Socket Header, 6 Circuit",TH,C498592
Connector,390851-04,1,CN175,"6 Pin MINI DIN, Female",TH,C3275791
Connector,252122-01,1,CN402,RCA Jack White,TH,C19941481
Connector,252122-02,1,CN403,RCA Jack Red,TH,C5360171
Resistor Net,902442-35,1,RP176,"10k? Resistor Network, 7 Element, Bussed",SIP8,C9900088055
Resistor Net,902410-10,1,RP351,"1k? Resistor Network, 9 Element, Bussed",SIP10,C9900088053
Resistor Net,902412-14,3,"RP461, RP462, RP463","1k? Resistor Network, 8 Element, Bussed",SIP9,C20754639
Capacitor Trim,251029-06,1,VC190,"22-47pF - Trimmer, Ceramic",TH 5mm,C3273413
Oscillator,325566-27,1,U104,"50 MHz Oscillator, metal",DIP14,C1669908
