RefDes     X          Y          Rot.       Exact     (FREE)    Side
C902       6855.0000  9745.0000  180        EXACT     (FREE)    Bottom                        
C903       7795.0000  9645.0000  180        EXACT     (FREE)    Bottom                        
C904       8015.0000  10005.0000 180        EXACT     (FREE)    Bottom                        
C907       6255.0000  10845.0000 180        EXACT     (FREE)    Bottom                        
C975       705.0000   6655.0000  180        EXACT     (FREE)    Bottom                        
C976       695.0000   6195.0000  180        EXACT     (FREE)    Bottom                        
C990       605.0000   11765.0000 180        EXACT     (FREE)    Bottom                        
CN160      9025.0000  8935.0000  000        EXACT     (FREE)    Top                           
CN175      4185.0000  13365.0000 000        EXACT     (FREE)    Top                           
CN200      4985.0000  445.0000   000        EXACT     (FREE)    Top                           
CN300      8155.0000  13245.0000 000        EXACT     (FREE)    Top                           
CN302      4985.0000  145.0000   000        EXACT     (FREE)    Top                           
CN303      4985.0000  295.0000   000        EXACT     (FREE)    Top                           
CN350      8155.0000  13525.0000 000        EXACT     (FREE)    Top                           
CN351      7125.0000  9085.0000  000        EXACT     (FREE)    Top                           
CN352      5955.0000  13505.0000 000        EXACT     (FREE)    Top                           
CN402      1085.0000  13510.0000 000        EXACT     (FREE)    Top                           
CN403      1595.0000  13510.0000 000        EXACT     (FREE)    Top                           
CN404      1345.0000  12825.0000 000        EXACT     (FREE)    Top                           
CN450      2865.0000  13505.0000 000        EXACT     (FREE)    Top                           
CN452      5295.0000  9395.0000  000        EXACT     (FREE)    Top                           
CN600      5295.0000  3955.0000  000        EXACT     (FREE)    Top                           
CN651      9035.0000  4725.0000  000        EXACT     (FREE)    Top                           
CN900      7125.0000  8725.0000  000        EXACT     (FREE)    Top                           
CN975      117.0000   9627.0000  000        EXACT     (FREE)    Top                           
CN976      117.0000   11007.0000 000        EXACT     (FREE)    Top                           
D1         9370.0000  200.0000   000        EXACT     (FREE)    Top                           
D2         200.0000   200.0000   000        EXACT     (FREE)    Top                           
D3         9370.0000  12885.0000 000        EXACT     (FREE)    Top                           
D4         8670.0000  7850.0000  000        EXACT     (FREE)    Top                           
D5         5970.0000  7850.0000  000        EXACT     (FREE)    Top                           
D6         8670.0000  1325.0000  000        EXACT     (FREE)    Top                           
D7         5970.0000  1325.0000  000        EXACT     (FREE)    Top                           
D175       8975.0000  10105.0000 180        EXACT     (FREE)    Top                           
D176       9135.0000  10105.0000 000        EXACT     (FREE)    Top                           
D177       1485.0000  6325.0000  000        EXACT     (FREE)    Top                           
D178       1635.0000  6325.0000  000        EXACT     (FREE)    Top                           
D300       6845.0000  12905.0000 000        EXACT     (FREE)    Top                           
D305       7955.0000  10705.0000 090        EXACT     (FREE)    Top                           
D306       7435.0000  11865.0000 270        EXACT     (FREE)    Top                           
D307       7435.0000  12025.0000 270        EXACT     (FREE)    Top                           
D360       9005.0000  11965.0000 000        EXACT     (FREE)    Top                           
D361       8845.0000  11965.0000 000        EXACT     (FREE)    Top                           
D362       9165.0000  11965.0000 000        EXACT     (FREE)    Top                           
D363       9325.0000  11965.0000 000        EXACT     (FREE)    Top                           
D500       2045.0000  11545.0000 000        EXACT     (FREE)    Top                           
D501       2265.0000  11165.0000 000        EXACT     (FREE)    Top                           
D502       2645.0000  11675.0000 090        EXACT     (FREE)    Top                           
D503       2205.0000  11545.0000 000        EXACT     (FREE)    Top                           
D504       2265.0000  10795.0000 000        EXACT     (FREE)    Top                           
D505       2105.0000  11165.0000 000        EXACT     (FREE)    Top                           
D507       3145.0000  10505.0000 000        EXACT     (FREE)    Top                           
EC182      4335.0000  12985.0000 180        EXACT     (FREE)    Bottom                        
EC183      3815.0000  12985.0000 180        EXACT     (FREE)    Bottom                        
EC184      4075.0000  12985.0000 180        EXACT     (FREE)    Bottom                        
EC300      8195.0000  12005.0000 000        EXACT     (FREE)    Top                           
EC301      7295.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC302      7695.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC303      7495.0000  12645.0000 000        EXACT     (FREE)    Top                           
